X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9
-16.625,2.11894,11,0,-10.2234,10.2905,11,0.01,2.83305,-0.671387,11,0.01,-4.99064,13.1978,11,0.01,10.7605,8.2194,11,0.01,-10.8632,11.9639,11,0.01,7.01599,0.450643,11,0.01,-6.53381,-16.1672,11,0.01,-13.62,-4.51864,11,0.01,-11.7564,-11.1369,11,0.01
-16.6344,2.12014,6.9563,0.02,-10.2301,10.2973,6.9563,0.02,2.84228,-0.673574,6.9563,0.02,-4.994,13.2067,6.9563,0.02,10.768,8.22516,6.9563,0.02,-10.8696,11.9709,6.9563,0.02,7.02546,0.451251,6.9563,0.02,-6.53737,-16.176,6.9563,0.02,-13.629,-4.52162,6.9563,0.02,-11.7633,-11.1434,6.9563,0.02
-16.6467,2.12207,54.2322,0.03,-10.0275,9.74767,54.2322,0.03,2.83938,-0.680399,54.2322,0.03,-4.99465,13.2196,54.2322,0.03,10.7778,8.2327,54.2322,0.03,-11.0928,12.5369,54.2322,0.03,7.05251,0.455944,54.2322,0.03,-6.54164,-16.1877,54.2322,0.03,-13.6407,-4.52521,54.2322,0.03,-11.7723,-11.1522,54.2322,0.03
-16.6591,2.12411,85.112,0.04,-9.94231,9.50411,85.112,0.04,2.8326,-0.688252,85.112,0.04,-4.99477,13.2325,85.112,0.04,10.7876,8.24021,85.112,0.04,-11.1989,12.7966,85.112,0.04,7.08323,0.461636,85.112,0.04,-6.54578,-16.1994,85.112,0.04,-13.6522,-4.52868,85.112,0.04,-11.7813,-11.1611,85.112,0.04
-16.6714,2.12613,78.6735,0.05,-9.92942,9.45012,78.6735,0.05,2.82684,-0.695885,78.6735,0.05,-4.99541,13.2453,78.6735,0.05,10.7973,8.24772,78.6735,0.05,-11.2323,12.8668,78.6735,0.05,7.11293,0.467071,78.6735,0.05,-6.54993,-16.2111,78.6735,0.05,-13.6638,-4.53217,78.6735,0.05,-11.7904,-11.1699,78.6735,0.05
-16.6837,2.12816,73.5225,0.06,-9.92222,9.41129,73.5225,0.06,2.82191,-0.703343,73.5225,0.06,-4.99625,13.258,73.5225,0.06,10.807,8.25523,73.5225,0.06,-11.2598,12.9219,73.5225,0.06,7.14179,0.472301,73.5225,0.06,-6.55407,-16.2228,73.5225,0.06,-13.6754,-4.53565,73.5225,0.06,-11.7994,-11.1787,73.5225,0.06
-16.6961,2.13018,68.327,0.07,-9.91728,9.37846,68.327,0.07,2.81773,-0.710642,68.327,0.07,-4.99718,13.2707,68.327,0.07,10.8168,8.26274,68.327,0.07,-11.2849,12.971,68.327,0.07,7.1699,0.477344,68.327,0.07,-6.55823,-16.2345,68.327,0.07,-13.687,-4.53914,68.327,0.07,-11.8084,-11.1876,68.327,0.07
-16.7084,2.13219,63.1331,0.08,-9.91402,9.35014,63.1331,0.08,2.81422,-0.7178,63.1331,0.08,-4.99822,13.2834,63.1331,0.08,10.8265,8.27025,63.1331,0.08,-11.3082,13.0157,63.1331,0.08,7.19732,0.482216,63.1331,0.08,-6.56238,-16.2462,63.1331,0.08,-13.6985,-4.54263,63.1331,0.08,-11.8174,-11.1964,63.1331,0.08
-16.7207,2.13421,57.9391,0.09,-9.91209,9.32536,57.9391,0.09,2.81135,-0.724829,57.9391,0.09,-4.99934,13.296,57.9391,0.09,10.8363,8.27776,57.9391,0.09,-11.3302,13.0569,57.9391,0.09,7.2241,0.486932,57.9391,0.09,-6.56653,-16.2579,57.9391,0.09,-13.7101,-4.54612,57.9391,0.09,-11.8264,-11.2052,57.9391,0.09
-16.7331,2.13622,52.7452,0.1,-9.91123,9.30346,52.7452,0.1,2.80904,-0.73174,52.7452,0.1,-5.00054,13.3085,52.7452,0.1,10.846,8.28528,52.7452,0.1,-11.351,13.0952,52.7452,0.1,7.2503,0.491504,52.7452,0.1,-6.57069,-16.2695,52.7452,0.1,-13.7217,-4.54961,52.7452,0.1,-11.8354,-11.214,52.7452,0.1
