X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2
-16.625,2.11894,9.72,0,-10.2234,10.2905,9.72,0.0001,2.83305,-0.671387,9.72,0.0001
-16.625,2.11894,9.72008,0.0002,-10.2234,10.2905,9.72008,0.0002,2.83305,-0.671387,9.72008,0.0002
-16.625,2.11894,9.72062,0.0003,-10.2234,10.2905,9.72062,0.0003,2.83306,-0.671388,9.72062,0.0003
-16.625,2.11894,9.72161,0.0004,-10.2234,10.2905,9.72161,0.0004,2.83307,-0.671391,9.72161,0.0004
-16.625,2.11894,9.72301,0.0005,-10.2234,10.2906,9.72301,0.0005,2.83308,-0.671395,9.72301,0.0005
-16.625,2.11894,9.72479,0.0006,-10.2234,10.2906,9.72479,0.0006,2.83311,-0.6714,9.72479,0.0006
-16.625,2.11895,9.72692,0.0007,-10.2234,10.2906,9.72692,0.0007,2.83313,-0.671406,9.72692,0.0007
-16.6251,2.11895,9.72937,0.0008,-10.2235,10.2906,9.72937,0.0008,2.83316,-0.671413,9.72937,0.0008
-16.6251,2.11896,9.73209,0.0009,-10.2235,10.2906,9.73209,0.0009,2.8332,-0.671421,9.73209,0.0009
-16.6251,2.11896,9.73505,0.001,-10.2235,10.2907,9.73505,0.001,2.83323,-0.671431,9.73505,0.001
-16.6252,2.11897,9.73821,0.0011,-10.2236,10.2907,9.73821,0.0011,2.83328,-0.67144,9.73821,0.0011
-16.6252,2.11897,9.74153,0.0012,-10.2236,10.2907,9.74153,0.0012,2.83332,-0.671451,9.74153,0.0012
-16.6253,2.11898,9.74496,0.0013,-10.2236,10.2908,9.74496,0.0013,2.83337,-0.671463,9.74496,0.0013
-16.6253,2.11899,9.74847,0.0014,-10.2237,10.2908,9.74847,0.0014,2.83342,-0.671475,9.74847,0.0014
-16.6254,2.11899,9.75202,0.0015,-10.2237,10.2908,9.75202,0.0015,2.83348,-0.671488,9.75202,0.0015
-16.6255,2.119,9.75557,0.0016,-10.2237,10.2909,9.75557,0.0016,2.83353,-0.671502,9.75557,0.0016
-16.6255,2.11901,9.75908,0.0017,-10.2238,10.2909,9.75908,0.0017,2.8336,-0.671516,9.75908,0.0017
-16.6256,2.11902,9.76253,0.0018,-10.2238,10.291,9.76253,0.0018,2.83366,-0.671531,9.76253,0.0018
-16.6256,2.11902,9.76587,0.0019,-10.2239,10.291,9.76587,0.0019,2.83372,-0.671547,9.76587,0.0019
-16.6257,2.11903,9.76908,0.002,-10.2239,10.2911,9.76908,0.002,2.83379,-0.671563,9.76908,0.002
-16.6258,2.11904,9.77212,0.0021,-10.224,10.2911,9.77212,0.0021,2.83386,-0.67158,9.77212,0.0021
-16.6259,2.11905,9.77498,0.0022,-10.224,10.2912,9.77498,0.0022,2.83394,-0.671597,9.77498,0.0022
-16.6259,2.11906,9.77764,0.0023,-10.2241,10.2912,9.77764,0.0023,2.83401,-0.671615,9.77764,0.0023
-16.626,2.11907,9.78006,0.0024,-10.2241,10.2913,9.78006,0.0024,2.83409,-0.671633,9.78006,0.0024
-16.6261,2.11908,9.78225,0.0025,-10.2242,10.2913,9.78225,0.0025,2.83417,-0.671652,9.78225,0.0025
-16.6262,2.11909,9.78417,0.0026,-10.2243,10.2914,9.78417,0.0026,2.83425,-0.671671,9.78417,0.0026
-16.6263,2.1191,9.78584,0.0027,-10.2243,10.2915,9.78584,0.0027,2.83433,-0.671691,9.78584,0.0027
-16.6264,2.11911,9.78723,0.0028,-10.2244,10.2915,9.78723,0.0028,2.83442,-0.671711,9.78723,0.0028
-16.6264,2.11912,9.78834,0.0029,-10.2244,10.2916,9.78834,0.0029,2.8345,-0.671731,9.78834,0.0029
-16.6265,2.11914,9.78918,0.003,-10.2245,10.2917,9.78918,0.003,2.83459,-0.671752,9.78918,0.003
-16.6266,2.11915,9.78975,0.0031,-10.2246,10.2917,9.78975,0.0031,2.83468,-0.671773,9.78975,0.0031
-16.6267,2.11916,9.79005,0.0032,-10.2246,10.2918,9.79005,0.0032,2.83477,-0.671794,9.79005,0.0032
