X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9,Temperature_list,Speed_list
-4.98694,0.638041,9.76183,0.0012,-2.97424,2.79149,9.75058,0.0012,0.805918,-0.214242,9.76101,0.0012,-1.44772,3.92665,9.76033,0.0012,3.2254,2.47444,9.76197,0.0012,-3.38988,3.85855,9.75046,0.0012,2.14246,0.141967,9.76092,0.0012,-1.95893,-4.79835,9.76052,0.0012,-4.08517,-1.35346,9.76178,0.0012,-3.53175,-3.34093,9.76174,0.0012,3.93777e+006,
-4.98684,0.638512,9.76836,0.0013,-2.96143,2.74819,9.75585,0.0013,0.797411,-0.216727,9.7674,0.0013,-1.43824,3.92033,9.76661,0.0013,3.22485,2.47617,9.76852,0.0013,-3.41004,3.89674,9.75569,0.0013,2.14969,0.143234,9.7673,0.0013,-1.95853,-4.78842,9.76683,0.0013,-4.08501,-1.35302,9.76831,0.0013,-3.53273,-3.34087,9.76825,0.0013,3.93003e+006,
-4.98673,0.639019,9.77499,0.0014,-2.94892,2.70522,9.76136,0.0014,0.788386,-0.219365,9.77389,0.0014,-1.42821,3.91363,9.773,0.0014,3.22426,2.47803,9.77517,0.0014,-3.43034,3.9343,9.76117,0.0014,2.15735,0.144561,9.77377,0.0014,-1.95803,-4.77792,9.77323,0.0014,-4.08483,-1.35253,9.77492,0.0014,-3.53379,-3.34079,9.77486,0.0014,3.87417e+006,
-4.98663,0.639559,9.78163,0.0015,-2.93677,2.66282,9.76704,0.0015,0.778897,-0.22214,9.7804,0.0015,-1.41771,3.90659,9.77941,0.0015,3.22364,2.48001,9.78183,0.0015,-3.45066,3.971,9.76683,0.0015,2.16538,0.145936,9.78025,0.0015,-1.95742,-4.76692,9.77966,0.0015,-4.08465,-1.35201,9.78155,0.0015,-3.53493,-3.34068,9.78148,0.0015,3.7819e+006,
-4.98652,0.64013,9.7882,0.0016,-2.92502,2.62117,9.77285,0.0016,0.768996,-0.225039,9.78684,0.0016,-1.40678,3.89925,9.78576,0.0016,3.22297,2.48211,9.78843,0.0016,-3.47093,4.00669,9.77259,0.0016,2.17374,0.147348,9.78668,0.0016,-1.95671,-4.75549,9.78602,0.0016,-4.08445,-1.35146,9.78811,0.0016,-3.53615,-3.34055,9.78803,0.0016,3.66249e+006,
-4.98642,0.640732,9.79463,0.0017,-2.91369,2.58042,9.77869,0.0017,0.758731,-0.228047,9.79315,0.0017,-1.3955,3.89165,9.79199,0.0017,3.22228,2.48432,9.79488,0.0017,-3.49107,4.04126,9.7784,0.0017,2.18238,0.148787,9.79297,0.0017,-1.95587,-4.74369,9.79226,0.0017,-4.08424,-1.35088,9.79453,0.0017,-3.53744,-3.34039,9.79444,0.0017,3.5233e+006,
-4.98631,0.641364,9.80085,0.0018,-2.9028,2.54064,9.78451,0.0018,0.748151,-0.231152,9.79926,0.0018,-1.38392,3.88382,9.79803,0.0018,3.22155,2.48665,9.80112,0.0018,-3.51103,4.07464,9.78418,0.0018,2.19125,0.150242,9.79906,0.0018,-1.95489,-4.73158,9.7983,0.0018,-4.08402,-1.35027,9.80074,0.0018,-3.53881,-3.34019,9.80064,0.0018,3.37027e+006,
-4.98621,0.642023,9.80679,0.0019,-2.89236,2.50191,9.79025,0.0019,0.737301,-0.234339,9.8051,0.0019,-1.37208,3.8758,9.80381,0.0019,3.22079,2.48907,9.80709,0.0019,-3.53076,4.1068,9.78987,0.0019,2.20031,0.151704,9.80488,0.0019,-1.95377,-4.71922,9.80407,0.0019,-4.0838,-1.34963,9.80667,0.0019,-3.54024,-3.33996,9.80656,0.0019,3.20832e+006,
-4.98612,0.642709,9.81239,0.002,-2.88235,2.46427,9.79584,0.002,0.726221,-0.237598,9.81061,0.002,-1.36005,3.86763,9.80928,0.002,3.22,2.49159,9.81271,0.002,-3.55025,4.13772,9.79542,0.002,2.20954,0.153163,9.81038,0.002,-1.95251,-4.70666,9.80953,0.002,-4.08356,-1.34896,9.81226,0.002,-3.54175,-3.33969,9.81214,0.002,3.04151e+006,
-4.98603,0.643421,9.8176,0.0021,-2.87276,2.42774,9.80122,0.0021,0.714953,-0.240917,9.81575,0.0021,-1.34786,3.85933,9.81438,0.0021,3.21918,2.49421,9.81794,0.0021,-3.56945,4.16737,9.80076,0.0021,2.21888,0.154611,9.8155,0.0021,-1.95109,-4.69395,9.81462,0.0021,-4.08332,-1.34827,9.81746,0.0021,-3.54332,-3.33937,9.81733,0.0021,2.87325e+006,
