X_0,Y_0,Z_0,X_1,Y_1,Z_1,Time_list
-16.605,2.1164,9.94888,-0.671357,-4.99042,9.53443,0.0087
-16.6047,2.11636,9.94181,-0.671356,-4.99041,9.52346,0.0088
-16.6044,2.11632,9.9333,-0.671355,-4.99041,9.51617,0.0089
-16.6041,2.11628,9.92351,-0.671354,-4.9904,9.51253,0.009
-16.6038,2.11624,9.9126,-0.671353,-4.99039,9.51243,0.0091
-16.6035,2.11621,9.90075,-0.671352,-4.99039,9.51573,0.0092
-16.6032,2.11617,9.88814,-0.671352,-4.99038,9.52226,0.0093
-16.6029,2.11613,9.87494,-0.671351,-4.99037,9.53183,0.0094
-16.6026,2.11609,9.86133,-0.67135,-4.99037,9.5442,0.0095
-16.6023,2.11605,9.84749,-0.671349,-4.99036,9.55912,0.0096
-16.602,2.11602,9.8336,-0.671348,-4.99035,9.57632,0.0097
-16.6017,2.11598,9.81982,-0.671347,-4.99035,9.59549,0.0098
-16.6014,2.11594,9.80631,-0.671346,-4.99034,9.61633,0.0099
-16.6011,2.1159,9.79323,-0.671345,-4.99033,9.63854,0.01
-16.6008,2.11586,9.7807,-0.671344,-4.99033,9.6618,0.0101
-16.6005,2.11583,9.76887,-0.671344,-4.99032,9.68579,0.0102
-16.6002,2.11579,9.75784,-0.671343,-4.99031,9.71019,0.0103
-16.5999,2.11575,9.74771,-0.671342,-4.99031,9.7347,0.0104
-16.5996,2.11571,9.73857,-0.671341,-4.9903,9.75902,0.0105
-16.5993,2.11567,9.73049,-0.67134,-4.99029,9.78287,0.0106
-16.599,2.11563,9.72353,-0.671339,-4.99029,9.80599,0.0107
-16.5987,2.1156,9.71772,-0.671338,-4.99028,9.82813,0.0108
-16.5984,2.11556,9.7131,-0.671337,-4.99027,9.84906,0.0109
-16.5981,2.11552,9.70966,-0.671336,-4.99027,9.86857,0.011
-16.5978,2.11548,9.70741,-0.671335,-4.99026,9.8865,0.0111
-16.5975,2.11544,9.70633,-0.671334,-4.99025,9.90269,0.0112
-16.5972,2.1154,9.70638,-0.671333,-4.99025,9.91701,0.0113
-16.5969,2.11537,9.70752,-0.671333,-4.99024,9.92937,0.0114
-16.5966,2.11533,9.7097,-0.671332,-4.99023,9.93969,0.0115
-16.5963,2.11529,9.71285,-0.671331,-4.99022,9.94793,0.0116
-16.596,2.11525,9.71689,-0.67133,-4.99022,9.95407,0.0117
