X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9
-16.625,2.11894,11,0,-0.671387,-4.99064,11,0.0037,-10.8632,11.9639,11,0.0073,-16.1672,-13.62,11,0.0109,16.2832,-1.81071,11,0.0145,-4.07104,1.05489,11,0.0181,-11.1257,5.43416,11,0.0217,3.58887,9.44316,11,0.0253,12.5315,7.55514,11,0.0289,-11.9222,-1.26444,11,0.0325
-16.625,2.11894,10.9996,0.0002,-0.671387,-4.99064,10.9996,0.0038,-10.8632,11.9639,10.9996,0.0074,-16.1672,-13.62,10.9996,0.011,16.2832,-1.81071,10.9996,0.0146,-4.07105,1.05489,10.9996,0.0182,-11.1257,5.43416,10.9996,0.0218,3.58887,9.44316,10.9996,0.0254,12.5315,7.55514,10.9996,0.029,-11.9222,-1.26445,10.9996,0.0326
-16.625,2.11894,10.9968,0.0003,-0.671388,-4.99065,10.9968,0.0039,-10.8632,11.9639,10.9968,0.0075,-16.1672,-13.62,10.9968,0.0111,16.2832,-1.81071,10.9968,0.0147,-4.07105,1.05489,10.9968,0.0183,-11.1257,5.43417,10.9968,0.0219,3.58887,9.44316,10.9968,0.0255,12.5315,7.55514,10.9968,0.0291,-11.9222,-1.26445,10.9968,0.0327
-16.625,2.11894,10.9917,0.0004,-0.671389,-4.99066,10.9917,0.004,-10.8633,11.9639,10.9917,0.0076,-16.1672,-13.62,10.9917,0.0112,16.2832,-1.81071,10.9917,0.0148,-4.07106,1.0549,10.9917,0.0184,-11.1257,5.43417,10.9917,0.022,3.58887,9.44317,10.9917,0.0256,12.5316,7.55515,10.9917,0.0292,-11.9222,-1.26445,10.9917,0.0328
-16.625,2.11894,10.9845,0.0005,-0.671392,-4.99068,10.9845,0.0041,-10.8633,11.9639,10.9845,0.0077,-16.1672,-13.62,10.9845,0.0113,16.2832,-1.81071,10.9845,0.0149,-4.07108,1.0549,10.9845,0.0185,-11.1257,5.43418,10.9845,0.0221,3.58888,9.44319,10.9845,0.0257,12.5316,7.55515,10.9845,0.0293,-11.9222,-1.26445,10.9845,0.0329
-16.625,2.11894,10.9752,0.0006,-0.671394,-4.9907,10.9752,0.0042,-10.8633,11.964,10.9752,0.0078,-16.1672,-13.62,10.9752,0.0114,16.2832,-1.81072,10.9752,0.015,-4.0711,1.05491,10.9752,0.0186,-11.1257,5.43419,10.9752,0.0222,3.58889,9.44321,10.9752,0.0258,12.5316,7.55517,10.9752,0.0294,-11.9223,-1.26446,10.9752,0.033
-16.625,2.11895,10.9639,0.0007,-0.671398,-4.99073,10.9639,0.0043,-10.8633,11.964,10.9639,0.0079,-16.1673,-13.62,10.9639,0.0115,16.2832,-1.81072,10.9639,0.0151,-4.07113,1.05492,10.9639,0.0187,-11.1258,5.4342,10.9639,0.0223,3.5889,9.44324,10.9639,0.0259,12.5316,7.55518,10.9639,0.0295,-11.9223,-1.26447,10.9639,0.0331
-16.6251,2.11895,10.9507,0.0008,-0.671402,-4.99076,10.9507,0.0044,-10.8633,11.964,10.9507,0.008,-16.1673,-13.6201,10.9507,0.0116,16.2833,-1.81072,10.9507,0.0152,-4.07116,1.05492,10.9507,0.0188,-11.1258,5.43421,10.9507,0.0224,3.58891,9.44326,10.9507,0.026,12.5316,7.55519,10.9507,0.0296,-11.9223,-1.26447,10.9507,0.0332
-16.6251,2.11896,10.9357,0.0009,-0.671407,-4.99079,10.9357,0.0045,-10.8633,11.964,10.9357,0.0081,-16.1673,-13.6201,10.9357,0.0117,16.2833,-1.81073,10.9357,0.0153,-4.07119,1.05493,10.9357,0.0189,-11.1258,5.43423,10.9357,0.0225,3.58892,9.4433,10.9357,0.0261,12.5317,7.55521,10.9357,0.0297,-11.9223,-1.26448,10.9357,0.0333
-16.6251,2.11896,10.9191,0.001,-0.671412,-4.99083,10.9191,0.0046,-10.8634,11.964,10.9191,0.0082,-16.1673,-13.6201,10.9191,0.0118,16.2834,-1.81073,10.9191,0.0154,-4.07123,1.05495,10.9191,0.019,-11.1259,5.43424,10.9191,0.0226,3.58893,9.44333,10.9191,0.0262,12.5317,7.55523,10.9191,0.0298,-11.9224,-1.2645,10.9191,0.0334
