X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2
-16.6279,2.11931,9.74503,0.0044,-0.671783,-4.99358,9.74503,0.008,-10.8652,11.9661,9.74503,0.0116
-16.628,2.11933,9.7069,0.0045,-0.671797,-4.99369,9.7069,0.0081,-10.8653,11.9662,9.7069,0.0117
-16.6281,2.11934,9.67089,0.0046,-0.671811,-4.9938,9.67089,0.0082,-10.8654,11.9663,9.67089,0.0118
-16.6282,2.11935,9.63727,0.0047,-0.671825,-4.9939,9.63727,0.0083,-10.8655,11.9663,9.63727,0.0119
-16.6283,2.11937,9.60631,0.0048,-0.67184,-4.99401,9.60631,0.0084,-10.8655,11.9664,9.60631,0.012
-16.6284,2.11938,9.5782,0.0049,-0.671854,-4.99412,9.5782,0.0085,-10.8656,11.9665,9.5782,0.0121
-16.6285,2.11939,9.55312,0.005,-0.671869,-4.99423,9.55312,0.0086,-10.8657,11.9666,9.55312,0.0122
-16.6287,2.11941,9.53122,0.0051,-0.671884,-4.99433,9.53122,0.0087,-10.8657,11.9667,9.53122,0.0123
-16.6288,2.11942,9.51259,0.0052,-0.671898,-4.99444,9.51259,0.0088,-10.8658,11.9668,9.51259,0.0124
-16.6289,2.11944,9.49729,0.0053,-0.671913,-4.99455,9.49729,0.0089,-10.8659,11.9668,9.49729,0.0125
-16.629,2.11945,9.48536,0.0054,-0.671928,-4.99466,9.48536,0.009,-10.866,11.9669,9.48536,0.0126
-16.6291,2.11946,9.47677,0.0055,-0.671943,-4.99478,9.47677,0.0091,-10.866,11.967,9.47677,0.0127
-16.6292,2.11948,9.47148,0.0056,-0.671958,-4.99489,9.47148,0.0092,-10.8661,11.9671,9.47148,0.0128
-16.6293,2.11949,9.46943,0.0057,-0.671973,-4.995,9.46943,0.0093,-10.8662,11.9672,9.46943,0.0129
-16.6294,2.11951,9.47049,0.0058,-0.671988,-4.99511,9.47049,0.0094,-10.8663,11.9672,9.47049,0.013
-16.6295,2.11952,9.47454,0.0059,-0.672003,-4.99522,9.47454,0.0095,-10.8663,11.9673,9.47454,0.0131
-16.6297,2.11954,9.48142,0.006,-0.672018,-4.99534,9.48142,0.0096,-10.8664,11.9674,9.48142,0.0132
-16.6298,2.11955,9.49094,0.0061,-0.672034,-4.99545,9.49094,0.0097,-10.8665,11.9675,9.49094,0.0133
-16.6299,2.11957,9.50291,0.0062,-0.672049,-4.99556,9.50291,0.0098,-10.8666,11.9676,9.50291,0.0134
-16.63,2.11958,9.5171,0.0063,-0.672064,-4.99568,9.5171,0.0099,-10.8667,11.9677,9.5171,0.0135
-16.6301,2.11959,9.53328,0.0064,-0.67208,-4.99579,9.53328,0.01,-10.8667,11.9678,9.53328,0.0136
-16.6302,2.11961,9.5512,0.0065,-0.672095,-4.99591,9.5512,0.0101,-10.8668,11.9678,9.5512,0.0137
-16.6303,2.11962,9.57062,0.0066,-0.672111,-4.99602,9.57062,0.0102,-10.8669,11.9679,9.57062,0.0138
-16.6305,2.11964,9.59127,0.0067,-0.672126,-4.99614,9.59127,0.0103,-10.867,11.968,9.59127,0.0139
-16.6306,2.11965,9.6129,0.0068,-0.672142,-4.99625,9.6129,0.0104,-10.867,11.9681,9.6129,0.014
-16.6307,2.11967,9.63523,0.0069,-0.672157,-4.99637,9.63523,0.0105,-10.8671,11.9682,9.63523,0.0141
-16.6308,2.11968,9.65803,0.007,-0.672173,-4.99649,9.65803,0.0106,-10.8672,11.9683,9.65803,0.0142
-16.6309,2.1197,9.68102,0.0071,-0.672189,-4.9966,9.68102,0.0107,-10.8673,11.9684,9.68102,0.0143
-16.631,2.11971,9.70398,0.0072,-0.672204,-4.99672,9.70398,0.0108,-10.8674,11.9684,9.70398,0.0144
-16.6312,2.11973,9.72666,0.0073,-0.67222,-4.99683,9.72666,0.0109,-10.8674,11.9685,9.72666,0.0145
-16.6313,2.11974,9.74885,0.0074,-0.672236,-4.99695,9.74885,0.011,-10.8675,11.9686,9.74885,0.0146
-16.6314,2.11976,9.77034,0.0075,-0.672251,-4.99707,9.77034,0.0111,-10.8676,11.9687,9.77034,0.0147
-16.6315,2.11977,9.79092,0.0076,-0.672267,-4.99719,9.79092,0.0112,-10.8677,11.9688,9.79092,0.0148
-16.6316,2.11979,9.81044,0.0077,-0.672283,-4.9973,9.81044,0.0113,-10.8678,11.9689,9.81044,0.0149
