X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4
-13.7343,1.74789,9.79815,1.0961,-0.662316,-4.92329,9.79815,1.0997,-8.99938,9.91534,9.79815,1.1033,-13.1287,-11.0602,9.79815,1.1069,13.4759,-1.49854,9.79815,1.1105
-13.7341,1.74787,9.79815,1.0962,-0.662315,-4.92329,9.79815,1.0998,-8.99923,9.91518,9.79815,1.1034,-13.1284,-11.06,9.79815,1.107,13.4757,-1.49852,9.79815,1.1106
-13.7339,1.74784,9.79815,1.0963,-0.662314,-4.92328,9.79815,1.0999,-8.99909,9.91502,9.79815,1.1035,-13.1282,-11.0598,9.79815,1.1071,13.4755,-1.49849,9.79815,1.1107
-13.7336,1.74781,9.79815,1.0964,-0.662313,-4.92328,9.79815,1.1,-8.99894,9.91485,9.79815,1.1036,-13.1279,-11.0596,9.79815,1.1072,13.4753,-1.49847,9.79815,1.1108
-13.7334,1.74778,9.79815,1.0965,-0.662313,-4.92327,9.79815,1.1001,-8.99879,9.91469,9.79815,1.1037,-13.1277,-11.0594,9.79815,1.1073,13.4751,-1.49844,9.79815,1.1109
-13.7332,1.74775,9.79815,1.0966,-0.662312,-4.92327,9.79815,1.1002,-8.99864,9.91453,9.79815,1.1038,-13.1275,-11.0592,9.79815,1.1074,13.4748,-1.49842,9.79815,1.111
-13.7329,1.74772,9.79815,1.0967,-0.662311,-4.92326,9.79815,1.1003,-8.99849,9.91437,9.79815,1.1039,-13.1272,-11.059,9.79815,1.1075,13.4746,-1.49839,9.79815,1.1111
-13.7327,1.74769,9.79815,1.0968,-0.66231,-4.92326,9.79815,1.1004,-8.99835,9.91421,9.79815,1.104,-13.127,-11.0588,9.79815,1.1076,13.4744,-1.49837,9.79815,1.1112
-13.7325,1.74766,9.79815,1.0969,-0.66231,-4.92325,9.79815,1.1005,-8.9982,9.91404,9.79815,1.1041,-13.1267,-11.0586,9.79815,1.1077,13.4742,-1.49834,9.79815,1.1113
-13.7323,1.74763,9.79815,1.097,-0.662309,-4.92325,9.79815,1.1006,-8.99805,9.91388,9.79815,1.1042,-13.1265,-11.0584,9.79815,1.1078,13.4739,-1.49832,9.79815,1.1114
-13.732,1.7476,9.79815,1.0971,-0.662308,-4.92324,9.79815,1.1007,-8.9979,9.91372,9.79815,1.1043,-13.1263,-11.0582,9.79815,1.1079,13.4737,-1.49829,9.79815,1.1115
-13.7318,1.74757,9.79815,1.0972,-0.662308,-4.92323,9.79815,1.1008,-8.99775,9.91356,9.79815,1.1044,-13.126,-11.058,9.79815,1.108,13.4735,-1.49827,9.79815,1.1116
-13.7316,1.74754,9.79815,1.0973,-0.662307,-4.92323,9.79815,1.1009,-8.9976,9.9134,9.79815,1.1045,-13.1258,-11.0578,9.79815,1.1081,13.4733,-1.49824,9.79815,1.1117
-13.7313,1.74751,9.79815,1.0974,-0.662306,-4.92322,9.79815,1.101,-8.99746,9.91323,9.79815,1.1046,-13.1255,-11.0576,9.79815,1.1082,13.4731,-1.49822,9.79815,1.1118
-13.7311,1.74748,9.79815,1.0975,-0.662305,-4.92322,9.79815,1.1011,-8.99731,9.91307,9.79815,1.1047,-13.1253,-11.0574,9.79815,1.1083,13.4728,-1.49819,9.79815,1.1119
-13.7309,1.74745,9.79815,1.0976,-0.662305,-4.92321,9.79815,1.1012,-8.99716,9.91291,9.79815,1.1048,-13.125,-11.0572,9.79815,1.1084,13.4726,-1.49817,9.79815,1.112
-13.7307,1.74742,9.79815,1.0977,-0.662304,-4.92321,9.79815,1.1013,-8.99701,9.91275,9.79815,1.1049,-13.1248,-11.057,9.79815,1.1085,13.4724,-1.49814,9.79815,1.1121
-13.7304,1.74739,9.79815,1.0978,-0.662303,-4.9232,9.79815,1.1014,-8.99686,9.91258,9.79815,1.105,-13.1246,-11.0568,9.79815,1.1086,13.4722,-1.49812,9.79815,1.1122
-13.7302,1.74736,9.79815,1.0979,-0.662303,-4.9232,9.79815,1.1015,-8.99672,9.91242,9.79815,1.1051,-13.1243,-11.0566,9.79815,1.1087,13.4719,-1.49809,9.79815,1.1123
-13.73,1.74733,9.79815,1.098,-0.662302,-4.92319,9.79815,1.1016,-8.99657,9.91226,9.79815,1.1052,-13.1241,-11.0564,9.79815,1.1088,13.4717,-1.49807,9.79815,1.1124
-13.7297,1.7473,9.79815,1.0981,-0.662301,-4.92319,9.79815,1.1017,-8.99642,9.9121,9.79815,1.1053,-13.1238,-11.0562,9.79815,1.1089,13.4715,-1.49805,9.79815,1.1125
-13.7295,1.74727,9.79815,1.0982,-0.6623,-4.92318,9.79815,1.1018,-8.99627,9.91194,9.79815,1.1054,-13.1236,-11.056,9.79815,1.109,13.4713,-1.49802,9.79815,1.1126
-13.7293,1.74724,9.79815,1.0983,-0.6623,-4.92318,9.79815,1.1019,-8.99612,9.91177,9.79815,1.1055,-13.1234,-11.0558,9.79815,1.1091,13.471,-1.498,9.79815,1.1127
-13.729,1.74721,9.79815,1.0984,-0.662299,-4.92317,9.79815,1.102,-8.99598,9.91161,9.79815,1.1056,-13.1231,-11.0556,9.79815,1.1092,13.4708,-1.49797,9.79815,1.1128
-13.7288,1.74718,9.79815,1.0985,-0.662298,-4.92317,9.79815,1.1021,-8.99583,9.91145,9.79815,1.1057,-13.1229,-11.0554,9.79815,1.1093,13.4706,-1.49795,9.79815,1.1129
-13.7286,1.74715,9.79815,1.0986,-0.662297,-4.92316,9.79815,1.1022,-8.99568,9.91129,9.79815,1.1058,-13.1226,-11.0552,9.79815,1.1094,13.4704,-1.49792,9.79815,1.113
-13.7284,1.74712,9.79815,1.0987,-0.662297,-4.92315,9.79815,1.1023,-8.99553,9.91113,9.79815,1.1059,-13.1224,-11.055,9.79815,1.1095,13.4702,-1.4979,9.79815,1.1131
-13.7281,1.74709,9.79815,1.0988,-0.662296,-4.92315,9.79815,1.1024,-8.99539,9.91096,9.79815,1.106,-13.1222,-11.0548,9.79815,1.1096,13.4699,-1.49787,9.79815,1.1132
-13.7279,1.74706,9.79815,1.0989,-0.662295,-4.92314,9.79815,1.1025,-8.99524,9.9108,9.79815,1.1061,-13.1219,-11.0546,9.79815,1.1097,13.4697,-1.49785,9.79815,1.1133
-13.7277,1.74703,9.79815,1.099,-0.662295,-4.92314,9.79815,1.1026,-8.99509,9.91064,9.79815,1.1062,-13.1217,-11.0544,9.79815,1.1098,13.4695,-1.49782,9.79815,1.1134
-13.7274,1.747,9.79815,1.0991,-0.662294,-4.92313,9.79815,1.1027,-8.99494,9.91048,9.79815,1.1063,-13.1214,-11.0542,9.79815,1.1099,13.4693,-1.4978,9.79815,1.1135
-13.7272,1.74697,9.79815,1.0992,-0.662293,-4.92313,9.79815,1.1028,-8.99479,9.91032,9.79815,1.1064,-13.1212,-11.054,9.79815,1.11,13.469,-1.49777,9.79815,1.1136
-13.727,1.74694,9.79815,1.0993,-0.662292,-4.92312,9.79815,1.1029,-8.99465,9.91015,9.79815,1.1065,-13.1209,-11.0537,9.79815,1.1101,13.4688,-1.49775,9.79815,1.1137
-13.7268,1.74691,9.79815,1.0994,-0.662292,-4.92312,9.79815,1.103,-8.9945,9.90999,9.79815,1.1066,-13.1207,-11.0535,9.79815,1.1102,13.4686,-1.49772,9.79815,1.1138
-13.7265,1.74688,9.79815,1.0995,-0.662291,-4.92311,9.79815,1.1031,-8.99435,9.90983,9.79815,1.1067,-13.1205,-11.0533,9.79815,1.1103,13.4684,-1.4977,9.79815,1.1139
