X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9
-16.625,2.11894,9.5,0,-10.2234,10.2905,9.5,0.0001,2.83305,-0.671387,9.5,0.0001,-4.99064,13.1978,9.5,0.0001,10.7605,8.2194,9.5,0.0001,-10.8632,11.9639,9.5,0.0001,7.01599,0.450643,9.5,0.0001,-6.53381,-16.1672,9.5,0.0001,-13.62,-4.51864,9.5,0.0001,-11.7564,-11.1369,9.5,0.0001
-16.625,2.11894,9.50046,0.0002,-10.2234,10.2905,9.50046,0.0002,2.83305,-0.671387,9.50046,0.0002,-4.99064,13.1978,9.50046,0.0002,10.7605,8.2194,9.50046,0.0002,-10.8632,11.9639,9.50046,0.0002,7.01599,0.450643,9.50046,0.0002,-6.53381,-16.1672,9.50046,0.0002,-13.62,-4.51864,9.50046,0.0002,-11.7564,-11.1369,9.50046,0.0002
-16.625,2.11894,9.50362,0.0003,-10.2234,10.2905,9.50362,0.0003,2.83305,-0.671389,9.50362,0.0003,-4.99064,13.1978,9.50362,0.0003,10.7605,8.21941,9.50362,0.0003,-10.8633,11.964,9.50362,0.0003,7.016,0.450644,9.50362,0.0003,-6.53382,-16.1672,9.50362,0.0003,-13.62,-4.51864,9.50362,0.0003,-11.7564,-11.1369,9.50362,0.0003
-16.625,2.11894,9.50934,0.0004,-10.2232,10.2901,9.50934,0.0004,2.83306,-0.671394,9.50934,0.0004,-4.99065,13.1979,9.50934,0.0004,10.7605,8.21941,9.50934,0.0004,-10.8634,11.9644,9.50934,0.0004,7.01602,0.450647,9.50934,0.0004,-6.53382,-16.1672,9.50934,0.0004,-13.62,-4.51864,9.50934,0.0004,-11.7564,-11.1369,9.50934,0.0004
-16.625,2.11894,9.51747,0.0005,-10.223,10.2894,9.51747,0.0005,2.83305,-0.671403,9.51747,0.0005,-4.99065,13.1979,9.51747,0.0005,10.7605,8.21942,9.51747,0.0005,-10.8637,11.9651,9.51747,0.0005,7.01606,0.450653,9.51747,0.0005,-6.53383,-16.1672,9.51747,0.0005,-13.62,-4.51865,9.51747,0.0005,-11.7564,-11.1369,9.51747,0.0005
-16.625,2.11895,9.52783,0.0006,-10.2226,10.2884,9.52783,0.0006,2.83305,-0.671415,9.52783,0.0006,-4.99065,13.1979,9.52783,0.0006,10.7605,8.21944,9.52783,0.0006,-10.8641,11.9661,9.52783,0.0006,7.01611,0.450662,9.52783,0.0006,-6.53383,-16.1673,9.52783,0.0006,-13.6201,-4.51865,9.52783,0.0006,-11.7564,-11.1369,9.52783,0.0006
-16.625,2.11895,9.54022,0.0007,-10.2222,10.2872,9.54022,0.0007,2.83304,-0.671431,9.54022,0.0007,-4.99065,13.1979,9.54022,0.0007,10.7606,8.21945,9.54022,0.0007,-10.8646,11.9674,9.54022,0.0007,7.01617,0.450672,9.54022,0.0007,-6.53384,-16.1673,9.54022,0.0007,-13.6201,-4.51866,9.54022,0.0007,-11.7565,-11.1369,9.54022,0.0007
-16.6251,2.11896,9.55443,0.0008,-10.2216,10.2856,9.55443,0.0008,2.83303,-0.671449,9.55443,0.0008,-4.99065,13.198,9.55443,0.0008,10.7606,8.21947,9.55443,0.0008,-10.8652,11.969,9.55443,0.0008,7.01624,0.450685,9.55443,0.0008,-6.53385,-16.1673,9.55443,0.0008,-13.6201,-4.51867,9.55443,0.0008,-11.7565,-11.137,9.55443,0.0008
-16.6251,2.11896,9.57024,0.0009,-10.2209,10.2838,9.57024,0.0009,2.83301,-0.67147,9.57024,0.0009,-4.99065,13.198,9.57024,0.0009,10.7606,8.21949,9.57024,0.0009,-10.866,11.9708,9.57024,0.0009,7.01632,0.4507,9.57024,0.0009,-6.53387,-16.1673,9.57024,0.0009,-13.6201,-4.51868,9.57024,0.0009,-11.7565,-11.137,9.57024,0.0009
-16.6252,2.11897,9.58744,0.001,-10.2202,10.2818,9.58744,0.001,2.833,-0.671494,9.58744,0.001,-4.99065,13.198,9.58744,0.001,10.7606,8.21952,9.58744,0.001,-10.8668,11.9729,9.58744,0.001,7.01642,0.450717,9.58744,0.001,-6.53388,-16.1674,9.58744,0.001,-13.6202,-4.51869,9.58744,0.001,-11.7565,-11.137,9.58744,0.001
