X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,Temperature_list,Speed_list
-16.625,2.11894,9.9,0,-10.2234,10.2905,9.9,0,2.83305,-0.671387,9.9,0,-4.99064,13.1978,9.9,0,10.7605,8.2194,9.9,0,1.4577e+241,9.13888e-011
-16.625,2.11894,9.87669,0.001,-10.2234,10.2905,9.87669,0.001,2.83305,-0.671387,9.87669,0.001,-4.99064,13.1978,9.87669,0.001,10.7605,8.2194,9.87669,0.001,1.01754e+006,1.60694e-010
-16.625,2.11894,9.75489,0.002,-10.2234,10.2905,9.75489,0.002,2.83305,-0.671387,9.75489,0.002,-4.99064,13.1978,9.75489,0.002,10.7605,8.2194,9.75489,0.002,106.22,1.13352e-010
-16.625,2.11894,9.66264,0.003,-10.2234,10.2905,9.66264,0.003,2.83305,-0.671387,9.66264,0.003,-4.99064,13.1978,9.66264,0.003,10.7605,8.2194,9.66264,0.003,685441,1.44702e-010
-16.625,2.11894,9.67923,0.004,-10.2234,10.2905,9.67923,0.004,2.83305,-0.671387,9.67923,0.004,-4.99064,13.1978,9.67923,0.004,10.7605,8.2194,9.67923,0.004,588559,1.12551e-010
-16.625,2.11894,9.77101,0.005,-10.2234,10.2905,9.77101,0.005,2.83305,-0.671387,9.77101,0.005,-4.99064,13.1978,9.77101,0.005,10.7605,8.2194,9.77101,0.005,245.861,
-16.625,2.11894,9.84133,0.006,-10.2234,10.2905,9.84133,0.006,2.83305,-0.671387,9.84133,0.006,-4.99064,13.1978,9.84133,0.006,10.7605,8.2194,9.84133,0.006,387532,
-16.625,2.11894,9.82958,0.007,-10.2234,10.2905,9.82958,0.007,2.83305,-0.671387,9.82958,0.007,-4.99064,13.1978,9.82958,0.007,10.7605,8.2194,9.82958,0.007,340364,
-16.625,2.11894,9.76043,0.008,-10.2234,10.2905,9.76043,0.008,2.83305,-0.671387,9.76043,0.008,-4.99064,13.1978,9.76043,0.008,10.7605,8.2194,9.76043,0.008,315.803,
-16.625,2.11894,9.70683,0.009,-10.2234,10.2905,9.70683,0.009,2.83305,-0.671387,9.70683,0.009,-4.99064,13.1978,9.70683,0.009,10.7605,8.2194,9.70683,0.009,219040,
-16.625,2.11894,9.71512,0.01,-10.2234,10.2905,9.71512,0.01,2.83305,-0.671387,9.71512,0.01,-4.99064,13.1978,9.71512,0.01,10.7605,8.2194,9.71512,0.01,196775,
-16.625,2.11894,9.76721,0.011,-10.2234,10.2905,9.76721,0.011,2.83305,-0.671387,9.76721,0.011,-4.99064,13.1978,9.76721,0.011,10.7605,8.2194,9.76721,0.011,321.85,
