X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9,Temperature_list,Speed_list
-4.98688,0.638286,9.76214,0.0012,-2.96974,2.77431,9.76214,0.0012,0.801599,-0.215515,9.76214,0.0012,-1.4427,3.92353,9.76214,0.0012,3.2251,2.47539,9.76214,0.0012,-3.39834,3.87292,9.76214,0.0012,2.14607,0.142568,9.76214,0.0012,-1.95861,-4.79325,9.76214,0.0012,-4.08508,-1.3532,9.76214,0.0012,-3.53228,-3.34089,9.76214,0.0012,4.37805e+006,
-4.98676,0.638806,9.76873,0.0013,-2.95643,2.72876,9.76873,0.0013,0.792287,-0.218237,9.76873,0.0013,-1.43229,3.91663,9.76873,0.0013,3.22449,2.47731,9.76873,0.0013,-3.41974,3.91284,9.76873,0.0013,2.15397,0.143938,9.76873,0.0013,-1.95811,-4.78239,9.76873,0.0013,-4.0849,-1.35269,9.76873,0.0013,-3.53338,-3.34081,9.76873,0.0013,4.36124e+006,
-4.98665,0.639365,9.77541,0.0014,-2.94345,2.68359,9.77541,0.0014,0.78242,-0.221125,9.77541,0.0014,-1.4213,3.90932,9.77541,0.0014,3.22383,2.47937,9.77541,0.0014,-3.44128,3.95204,9.77541,0.0014,2.16232,0.14537,9.77541,0.0014,-1.9575,-4.77093,9.77541,0.0014,-4.0847,-1.35215,9.77541,0.0014,-3.53456,-3.34071,9.77541,0.0014,4.29167e+006,
-4.98653,0.63996,9.78211,0.0015,-2.93086,2.63907,9.7821,0.0015,0.772057,-0.22416,9.7821,0.0015,-1.4098,3.90166,9.7821,0.0015,3.22314,2.48157,9.7821,0.0015,-3.46284,3.99028,9.7821,0.0015,2.17107,0.146849,9.7821,0.0015,-1.95677,-4.75893,9.7821,0.0015,-4.0845,-1.35157,9.7821,0.0015,-3.53583,-3.34058,9.7821,0.0015,4.18243e+006,
-4.98642,0.640591,9.78873,0.0016,-2.9187,2.59538,9.78873,0.0016,0.761258,-0.227326,9.78873,0.0016,-1.39786,3.89368,9.78873,0.0016,3.2224,2.4839,9.78873,0.0016,-3.48433,4.02743,9.78873,0.0016,2.18015,0.148363,9.78873,0.0016,-1.9559,-4.74648,9.78873,0.0016,-4.08428,-1.35096,9.78873,0.0016,-3.53719,-3.34042,9.78873,0.0016,4.04384e+006,
-4.9863,0.641256,9.79522,0.0017,-2.907,2.55265,9.79522,0.0017,0.750078,-0.230607,9.79522,0.0017,-1.38555,3.88542,9.79522,0.0017,3.22163,2.48636,9.79522,0.0017,-3.50568,4.06336,9.79522,0.0017,2.18952,0.149901,9.79522,0.0017,-1.95489,-4.73366,9.79522,0.0017,-4.08405,-1.35031,9.79522,0.0017,-3.53863,-3.34023,9.79522,0.0017,3.88412e+006,
-4.98619,0.641952,9.80149,0.0018,-2.89575,2.51098,9.80149,0.0018,0.73857,-0.233989,9.80149,0.0018,-1.37293,3.87694,9.80149,0.0018,3.22082,2.48893,9.80149,0.0018,-3.52684,4.09802,9.80149,0.0018,2.19913,0.15145,9.80149,0.0018,-1.95372,-4.72052,9.80149,0.0018,-4.08381,-1.34963,9.80149,0.0018,-3.54015,-3.33999,9.80149,0.0018,3.70991e+006,
-4.98609,0.64268,9.80748,0.0019,-2.88497,2.47043,9.80748,0.0019,0.726783,-0.237457,9.80748,0.0019,-1.36005,3.86826,9.80748,0.0019,3.21997,2.49162,9.80748,0.0019,-3.54776,4.13136,9.80748,0.0019,2.20894,0.153,9.80748,0.0019,-1.95239,-4.70713,9.80748,0.0019,-4.08355,-1.34892,9.80748,0.0019,-3.54175,-3.33971,9.80748,0.0019,3.52665e+006,
-4.98599,0.643437,9.81313,0.002,-2.87465,2.43105,9.81313,0.002,0.714766,-0.240998,9.81313,0.002,-1.34698,3.85943,9.81313,0.002,3.2191,2.49442,9.81313,0.002,-3.5684,4.16337,9.81313,0.002,2.21889,0.15454,9.81313,0.002,-1.95088,-4.69355,9.81313,0.002,-4.0833,-1.34818,9.81313,0.002,-3.54343,-3.33938,9.81313,0.002,3.33887e+006,
-4.98589,0.644222,9.81839,0.0021,-2.86477,2.39286,9.81838,0.0021,0.702561,-0.2446,9.81838,0.0021,-1.33376,3.85048,9.81838,0.0021,3.21819,2.49733,9.81839,0.0021,-3.58874,4.19405,9.81839,0.0021,2.22896,0.156062,9.81838,0.0021,-1.9492,-4.67984,9.81838,0.0021,-4.08303,-1.34741,9.81838,0.0021,-3.54518,-3.33899,9.81838,0.0021,3.15036e+006,
