X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4
-16.6219,2.11855,10.4739,0.0026,-0.671377,-4.99057,10.4739,0.0062,-10.8613,11.9617,10.4739,0.0098,-16.164,-13.6173,10.4739,0.0134,16.2802,-1.81038,10.4739,0.017
-16.6217,2.11852,10.4377,0.0027,-0.671376,-4.99056,10.4377,0.0063,-10.8611,11.9616,10.4377,0.0099,-16.1638,-13.6171,10.4377,0.0135,16.28,-1.81036,10.4377,0.0171
-16.6215,2.11849,10.4008,0.0028,-0.671376,-4.99056,10.4008,0.0064,-10.861,11.9614,10.4008,0.01,-16.1635,-13.6169,10.4008,0.0136,16.2798,-1.81033,10.4008,0.0172
-16.6213,2.11846,10.3632,0.0029,-0.671375,-4.99055,10.3632,0.0065,-10.8609,11.9613,10.3632,0.0101,-16.1633,-13.6167,10.3632,0.0137,16.2796,-1.81031,10.3632,0.0173
-16.621,2.11844,10.3249,0.003,-0.671374,-4.99055,10.3249,0.0066,-10.8607,11.9611,10.3249,0.0102,-16.1631,-13.6165,10.3249,0.0138,16.2793,-1.81029,10.3249,0.0174
-16.6208,2.11841,10.2859,0.0031,-0.671374,-4.99054,10.2859,0.0067,-10.8606,11.961,10.2859,0.0103,-16.1628,-13.6163,10.2859,0.0139,16.2791,-1.81026,10.2859,0.0175
-16.6206,2.11838,10.2464,0.0032,-0.671373,-4.99054,10.2464,0.0068,-10.8604,11.9608,10.2464,0.0104,-16.1626,-13.6161,10.2464,0.014,16.2789,-1.81024,10.2464,0.0176
-16.6203,2.11835,10.2063,0.0033,-0.671372,-4.99053,10.2063,0.0069,-10.8603,11.9606,10.2063,0.0105,-16.1623,-13.6159,10.2063,0.0141,16.2787,-1.81021,10.2063,0.0177
-16.6201,2.11832,10.1657,0.0034,-0.671371,-4.99053,10.1657,0.007,-10.8601,11.9605,10.1657,0.0106,-16.1621,-13.6157,10.1657,0.0142,16.2784,-1.81019,10.1657,0.0178
-16.6199,2.11829,10.1245,0.0035,-0.671371,-4.99052,10.1245,0.0071,-10.86,11.9603,10.1245,0.0107,-16.1618,-13.6155,10.1245,0.0143,16.2782,-1.81016,10.1245,0.0179
