X,Y,Z,V_X,V_Y,V_Z
-8.85872e-005,1.4759e-005,0.148727,-3.32586e-012,-3.59794e-012,-0.00655717
-2.64218e-005,9.38986e-005,0.000399455,2.90246e-012,-1.76314e-012,-9.28396e-013
5.44448e-005,1.3032e-005,0.000399455,-2.18296e-012,3.7955e-012,2.30472e-012
-6.68551e-005,-6.78346e-005,0.000399455,2.97012e-012,-1.13119e-012,-5.34389e-012
9.48781e-005,-2.74013e-005,0.000399455,8.63829e-013,-4.71334e-012,-3.45655e-012
-3.98996e-005,3.99875e-005,0.000399455,3.31595e-012,3.76641e-012,-2.51234e-012
6.79226e-005,6.6943e-005,0.000399455,3.66731e-012,-1.04686e-012,1.37411e-013
9.65007e-005,9.97125e-005,1.63572,3.07034e-012,1.9454e-012,-0.00655717
8.14003e-005,-8.13124e-005,0.000399455,-1.36714e-012,-2.1625e-012,4.72541e-012
5.33722e-007,-4.458e-007,0.000399455,-2.27713e-012,3.08689e-012,-8.89034e-013
-4.7103e-005,-7.68444e-005,127047,-3.99303e-012,-1.79537e-012,-0.00655717
-5.33774e-005,-1.39236e-005,0.000399455,-2.37701e-012,7.74281e-012,-7.71236e-013
-1.2944e-005,-5.43569e-005,0.000399455,-9.31115e-013,-5.55196e-012,-5.78002e-012
2.74893e-005,-9.47902e-005,0.000399455,-4.60731e-012,-7.45696e-013,-2.04906e-012
1.40115e-005,5.34653e-005,0.000399455,-2.79683e-012,-1.0278e-012,-2.16223e-012
-7.86279e-007,-8.09976e-005,0.616927,-3.46634e-013,-5.08112e-012,-0.00655717
-8.03329e-005,8.04208e-005,0.000399455,-2.69753e-012,-1.32951e-012,-6.65306e-012
-9.38107e-005,2.65097e-005,0.000399455,1.77671e-012,-3.38746e-013,1.58654e-012
4.0967e-005,-4.08791e-005,0.000399455,-8.54846e-013,-2.31284e-012,-1.76645e-012
4.31526e-007,2.96469e-005,0.191819,-2.45272e-013,-4.53489e-012,-0.00655717
