X,Y,Z,V_X,V_Y,V_Z
-9.97336e-005,2.34808e-005,0.00039475,-0.00103628,-0.00110785,-0.000304891
-1.53981e-005,7.19974e-005,0.000404369,0.00125391,0.00189082,0.000740583
5.16959e-005,2.24132e-005,0.000404224,0.00125728,-0.000320946,0.000683899
-6.63458e-005,-7.92115e-005,0.000404176,-0.00076258,-6.98626e-005,0.000642802
-9.98076e-005,-2.8993e-005,0.000404418,-0.00144373,-0.000754297,-0.000137778
-4.9121e-005,2.1725e-005,0.00040398,-0.0016097,1.33193e-005,0.000593934
8.56385e-005,7.254e-005,0.000403737,-0.0010766,0.000558263,0.000214311
8.43898e-005,-8.05177e-005,0.000395012,-0.00077825,0.00117239,-0.000200362
5.63276e-005,-3.31216e-005,0.85429,-8.78391e-012,6.60322e-012,-0.00655717
9.38958e-007,-2.82492e-005,0.000403701,0.00126036,-0.00153993,0.000180057
-6.88317e-005,-7.88904e-005,0.00135748,2.61712e-012,-4.43393e-012,-0.00655717
-4.76258e-005,-2.85283e-005,0.000394854,-0.000789399,-0.00147815,-0.000405843
-1.0099e-005,-8.00457e-005,61.6003,1.84633e-011,4.44754e-012,-0.00655717
3.48227e-005,-7.88116e-005,0.000403749,0.000614592,-0.000212867,2.08198e-005
3.65364e-005,7.34419e-005,0.000394996,7.95323e-005,0.00120648,-0.000381409
-1.47572e-005,-7.79876e-005,0.000394909,0.00136364,0.000498637,-0.000318771
-6.74253e-005,7.22869e-005,0.000394829,-0.000405147,0.00123698,-0.000538532
-9.64443e-005,2.29095e-005,0.00582574,4.02571e-014,-6.29136e-012,-0.00655717
5.0325e-005,-2.94967e-005,0.000394938,0.000671367,-0.00111355,-0.000173147
1.20978e-006,2.04818e-005,0.000394975,0.00140101,2.05507e-005,-0.000712645
