X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,X_5,Y_5,Z_5,X_6,Y_6,Z_6,X_7,Y_7,Z_7,X_8,Y_8,Z_8,X_9,Y_9,Z_9,X_10,Y_10,Z_10,X_11,Y_11,Z_11,X_12,Y_12,Z_12,X_13,Y_13,Z_13,X_14,Y_14,Z_14,X_15,Y_15,Z_15,X_16,Y_16,Z_16,X_17,Y_17,Z_17,X_18,Y_18,Z_18,X_19,Y_19,Z_19,Time_list,Temperature_list,Speed_list
-2.08565,-0.322707,9.87857,-0.74841,1.98191,10.0992,1.0083,1.11307,9.92001,-1.76257,-1.67351,10.1823,-2.4571,-0.674448,9.96839,-1.55245,0.863663,9.93183,1.39568,1.54544,9.95403,2.28802,2.18079,9.96638,1.82173,-1.47453,10.0845,-0.477304,-0.979385,9.86937,-0.625794,-2.03966,10.0257,-1.12406,-1.13963,9.98123,-0.0838738,-1.4884,10.0632,1.22193,-1.96946,9.98747,0.0858901,2.44418,10.0635,-0.0427745,-2.18365,10.037,-1.78663,2.03412,10.0349,2.24852,1.73424,9.83465,1.93593,-1.36433,9.87671,-0.0406475,0.906273,9.91345,0.001,4.23567e+007,nan
-1.9902,-0.366263,9.85923,-0.748369,1.9829,10.0748,0.991606,1.21713,9.90902,-1.76201,-1.67443,10.1581,-2.4858,-0.738834,9.96293,-1.50955,0.883321,9.91553,1.38194,1.57488,9.93753,2.3043,2.25694,9.95944,1.82309,-1.4842,10.0663,-0.612966,-1.04678,9.85791,-0.626792,-2.04041,10.0012,-1.12699,-1.14233,9.95752,-0.0847498,-1.49295,10.04,1.21938,-1.97153,9.96343,0.085801,2.44336,10.0391,-0.0432521,-2.18377,10.0125,-1.78441,2.0364,10.0109,2.25428,1.80659,9.80984,2.02102,-1.495,9.85919,-0.0880111,0.928571,9.89522,0.0011,4.45327e+007,nan
-1.87319,-0.385122,9.83358,-0.74833,1.98402,10.0482,0.955289,1.29797,9.89583,-1.76149,-1.67581,10.1318,2.46326,-0.818138,9.96279,-1.46284,0.906452,9.89865,1.37377,1.61834,9.92287,2.33274,2.37621,9.96437,1.82176,-1.49567,10.0504,-0.725351,-1.11025,9.84245,-0.627715,-2.0416,9.97429,-1.14421,-1.15378,9.93624,-0.0850439,-1.49809,10.0147,1.20551,-1.97357,9.93884,0.0855102,2.44248,10.0123,-0.0438397,-2.18395,9.98556,-1.78152,2.03881,9.98446,2.26851,1.8383,9.77083,2.10612,-1.62312,9.83491,-0.141009,0.949727,9.87638,0.0012,5.01485e+007,nan
-1.74382,-0.387592,9.80424,-0.748281,1.98521,10.0191,0.892956,1.35289,9.88056,-1.76103,-1.67763,10.1034,2.39629,-0.899389,9.96608,-1.41377,0.931764,9.88148,1.37872,1.67682,9.91047,2.37218,-2.46802,9.98162,1.81724,-1.5065,10.0356,-0.797806,-1.16697,9.81951,-0.631649,-2.04416,9.94534,-1.19071,-1.17404,9.92145,-0.0846557,-1.50342,9.98716,1.17964,-1.97357,9.91406,0.085209,2.44112,9.98327,-0.040544,-2.18524,9.95653,-1.77584,2.04102,9.95625,2.28902,1.83148,9.71786,2.19233,-1.74993,9.80522,-0.197916,0.969024,9.85724,0.0013,5.7011e+007,nan
-1.61194,-0.377222,9.773,-0.748208,1.98602,9.98782,0.80518,1.38251,9.86356,-1.76082,-1.67972,10.0729,2.31867,-0.972941,9.97161,-1.36405,0.953545,9.86411,1.39973,1.74599,9.90059,2.41447,-2.29247,10.008,1.81075,-1.51604,10.02,-0.815732,-1.20653,9.78237,-0.657006,-2.05339,9.91577,-1.28851,-1.19467,9.91856,-0.0798226,-1.50272,9.95835,1.14665,-1.9686,9.88911,0.0899173,2.4254,9.95307,-0.0168237,-2.18599,9.92604,-1.75728,2.04119,9.92886,2.31022,1.79657,9.65399,2.27812,-1.87205,9.7711,-0.256351,0.98361,9.838,0.0014,7.03777e+007,nan
-1.48396,-0.353491,9.74079,-0.74951,1.98421,9.9549,0.70018,1.3897,9.84535,-1.761,-1.6821,10.0404,2.23439,-1.03339,9.97891,-1.31613,0.970623,9.84695,1.43516,1.81857,9.89344,2.46005,-2.11521,10.041,1.80318,-1.52457,10.0029,-0.787225,-1.22664,9.7265,-0.716997,-2.07224,9.88518,-1.44483,-1.21153,9.93064,-0.0533781,-1.46999,9.93293,1.11433,-1.95662,9.86384,0.120327,2.33776,9.92715,0.0113362,-2.15055,9.89031,-1.73093,2.03817,9.90277,2.3334,1.7443,9.58401,2.36289,-1.98552,9.7319,-0.314502,0.990641,9.8187,0.0015,9.10818e+007,nan
-1.36212,-0.31562,9.70802,-0.757646,1.96985,9.9239,0.58942,1.37911,9.82666,-1.76183,-1.68496,10.0059,2.14423,-1.08107,9.98775,-1.2742,0.979754,9.83025,1.48109,1.89119,9.88968,-2.49392,-1.93897,10.0728,1.79493,-1.53263,9.98375,-0.734005,-1.22858,9.65661,-0.805963,-2.09472,9.85415,-1.63927,-1.22583,9.95437,-0.00658232,-1.40446,9.9115,1.08832,-1.93727,9.83866,0.177093,2.18931,9.90534,0.0486962,-2.07859,9.84999,-1.70978,2.0351,9.87861,2.35794,1.68477,9.51283,2.44836,-2.10024,9.69051,-0.368376,0.985607,9.79913,0.0016,1.07696e+008,nan
-1.24474,-0.263806,9.67518,-0.77132,1.94529,9.8955,0.481676,1.35262,9.80807,-1.76333,-1.68865,9.9696,2.05145,-1.11233,9.99783,-1.24054,0.980102,9.81467,1.5325,1.95999,9.88987,-2.44706,-1.76367,10.1053,1.78351,-1.54153,9.96361,-0.675522,-1.21248,9.57767,-0.915978,-2.12051,9.82399,-1.85165,-1.23882,9.98541,0.0576171,-1.30892,9.89541,1.06792,-1.91112,9.81344,0.248794,2.00881,9.88668,0.0975522,-1.99273,9.80697,-1.69566,2.03126,9.85721,2.38294,1.61593,9.44103,-2.46565,-2.21557,9.64548,-0.416488,0.967536,9.77962,0.0017,1.17138e+008,nan
-1.12987,-0.201622,9.6434,-0.78759,1.91404,9.87026,0.383665,1.30801,9.78964,-1.76389,-1.69931,9.93232,1.97079,-1.10708,10.0093,-1.21804,0.971014,9.80095,1.5862,2.02176,9.89449,-2.39973,-1.588,10.1376,1.75583,-1.55819,9.9472,-0.619695,-1.18013,9.49192,-1.03775,-2.14822,9.79561,-2.0717,-1.23951,10.0213,0.135225,-1.1857,9.88655,1.04543,-1.88395,9.78659,0.327099,1.8197,9.87101,0.154286,-1.91009,9.76257,-1.68883,2.02462,9.83938,2.40736,1.53496,9.36912,-2.37591,-2.33658,9.59543,-0.457248,0.935303,9.76049,0.0018,1.25587e+008,nan
-1.01777,-0.133185,9.614,-0.802101,1.8793,9.84864,0.300911,1.23733,9.77029,-1.75887,-1.73653,9.89967,1.89955,-1.06413,10.0229,-1.21006,0.951812,9.78995,1.64034,2.0758,9.90387,-2.35274,-1.41229,10.1684,1.71467,-1.5869,9.93237,-0.567825,-1.1345,9.40015,-1.15864,-2.17686,9.76858,-2.29935,-1.19532,10.0608,0.224256,-1.03687,9.88651,1.02106,-1.85696,9.75828,0.408418,1.64111,9.85985,0.214601,-1.83774,9.7176,-1.68947,2.01096,9.826,2.42919,1.44023,9.29805,-2.29164,-2.4626,9.54057,-0.48929,0.887979,9.74195,0.0019,1.24575e+008,nan
