X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,Temperature_list,Speed_list
-16.625,2.11894,9.76449,0.029,-10.2234,10.2905,9.76449,0.029,2.83305,-0.671387,9.76449,0.029,-4.99064,13.1978,9.76449,0.029,10.7605,8.2194,9.76449,0.029,70.3671,
-16.625,2.11894,9.77247,0.03,-10.2234,10.2905,9.77247,0.03,2.83305,-0.671387,9.77247,0.03,-4.99064,13.1978,9.77247,0.03,10.7605,8.2194,9.77247,0.03,4006.16,
-16.625,2.11894,9.77189,0.031,-10.2234,10.2905,9.77189,0.031,2.83305,-0.671387,9.77189,0.031,-4.99064,13.1978,9.77189,0.031,10.7605,8.2194,9.77189,0.031,4219.64,
-16.625,2.11894,9.76474,0.032,-10.2234,10.2905,9.76474,0.032,2.83305,-0.671387,9.76474,0.032,-4.99064,13.1978,9.76474,0.032,10.7605,8.2194,9.76474,0.032,48.6765,
-16.625,2.11894,9.75867,0.033,-10.2234,10.2905,9.75867,0.033,2.83305,-0.671387,9.75867,0.033,-4.99064,13.1978,9.75867,0.033,10.7605,8.2194,9.75867,0.033,2259.31,
-16.625,2.11894,9.75904,0.034,-10.2234,10.2905,9.75904,0.034,2.83305,-0.671387,9.75904,0.034,-4.99064,13.1978,9.75904,0.034,10.7605,8.2194,9.75904,0.034,2434.89,
-16.625,2.11894,9.76442,0.035,-10.2234,10.2905,9.76442,0.035,2.83305,-0.671387,9.76442,0.035,-4.99064,13.1978,9.76442,0.035,10.7605,8.2194,9.76442,0.035,33.1194,
-16.625,2.11894,9.76904,0.036,-10.2234,10.2905,9.76904,0.036,2.83305,-0.671387,9.76904,0.036,-4.99064,13.1978,9.76904,0.036,10.7605,8.2194,9.76904,0.036,1273.78,
-16.625,2.11894,9.76881,0.037,-10.2234,10.2905,9.76881,0.037,2.83305,-0.671387,9.76881,0.037,-4.99064,13.1978,9.76881,0.037,10.7605,8.2194,9.76881,0.037,1404.71,
-16.625,2.11894,9.76476,0.038,-10.2234,10.2905,9.76476,0.038,2.83305,-0.671387,9.76476,0.038,-4.99064,13.1978,9.76476,0.038,10.7605,8.2194,9.76476,0.038,22.2189,
-16.625,2.11894,9.76125,0.039,-10.2234,10.2905,9.76125,0.039,2.83305,-0.671387,9.76125,0.039,-4.99064,13.1978,9.76125,0.039,10.7605,8.2194,9.76125,0.039,717.933,
-16.625,2.11894,9.76138,0.04,-10.2234,10.2905,9.76138,0.04,2.83305,-0.671387,9.76138,0.04,-4.99064,13.1978,9.76138,0.04,10.7605,8.2194,9.76138,0.04,810.205,
-16.625,2.11894,9.76443,0.041,-10.2234,10.2905,9.76443,0.041,2.83305,-0.671387,9.76443,0.041,-4.99064,13.1978,9.76443,0.041,10.7605,8.2194,9.76443,0.041,14.7301,
-16.625,2.11894,9.76711,0.042,-10.2234,10.2905,9.76711,0.042,2.83305,-0.671387,9.76711,0.042,-4.99064,13.1978,9.76711,0.042,10.7605,8.2194,9.76711,0.042,404.52,
