X,Y,Z,V_X,V_Y,V_Z
-8.97584e-005,3.03929e-005,0.000399455,3.4861e-006,-0.000148745,-1.1058e-011
-1.29951e-005,9.17695e-005,0.000399455,-9.10078e-005,9.74681e-005,-7.33498e-012
4.24138e-005,-1.08733e-006,0.000399455,-1.16653e-006,2.83834e-006,9.82437e-012
-5.87797e-005,-7.03855e-005,0.000399455,0.00049796,8.75094e-005,-5.32501e-012
9.77062e-005,-3.07856e-005,0.000399455,9.70824e-005,-5.84938e-005,-1.70058e-011
-2.75703e-005,3.03979e-005,0.000399455,-4.42045e-006,5.80037e-005,-2.46967e-011
4.23846e-005,6.23213e-005,0.000399455,-4.92179e-006,-2.12136e-006,-1.87989e-011
9.77562e-005,9.17997e-005,0.000399455,6.10172e-005,4.54685e-005,-1.83801e-011
4.24636e-005,-7.05288e-005,0.000399455,-0.000486515,-6.36118e-007,-2.64049e-011
-1.29145e-005,-3.08194e-005,0.000399455,-7.1514e-005,-8.1292e-005,2.25738e-012
