X,Y,Z,V_X,V_Y,V_Z
0.000200612,6.97033e-005,0.000399455,3.00271e-006,5.53644e-007,1.79031e-009
-5.36842e-005,0.000146673,0.000399455,-2.52441e-006,2.76807e-006,2.94812e-009
7.66509e-005,2.60484e-005,0.000399455,5.04196e-006,-2.42579e-006,-1.83888e-011
-9.55785e-005,-0.000137445,0.000399455,-1.09711e-005,7.00327e-006,4.1741e-009
-0.000197914,-5.69561e-005,0.000399455,6.30331e-006,-7.76689e-007,2.02029e-009
-7.9791e-005,2.32588e-005,0.000399455,1.4185e-006,3.6011e-006,1.17327e-010
7.09546e-005,0.00015227,0.000399455,4.00401e-006,-8.2363e-006,-6.39111e-009
-0.000194278,0.000189891,0.000399455,-6.34828e-007,-1.36261e-006,-6.47721e-009
0.000106617,-0.000133372,0.000399455,1.09619e-006,-2.96331e-006,9.78975e-009
3.5439e-006,-7.38711e-005,0.000399455,-6.73632e-006,1.83866e-006,-5.68082e-009
