X,Y,Z,V_X,V_Y,V_Z
-9.37097e-005,1.13103e-005,0.000394194,-0.000728035,0.000306052,0.000208555
-4.15286e-005,9.43355e-005,0.000404256,0.0002328,-4.91531e-006,1.32459e-005
5.73873e-005,1.42043e-005,0.000404261,0.0015314,0.00164815,0.000360017
-9.19819e-005,-7.16301e-005,0.000398683,0.000153272,0.000298395,6.82777e-005
-9.18132e-005,-2.96617e-005,0.00040427,-0.000723629,-0.000360889,-0.00042854
-4.3786e-005,1.19494e-005,0.000404293,-0.000845393,0.000967986,0.000958008
3.52951e-005,4.71781e-005,0.000391901,0.000275349,0.000608262,-2.80674e-005
-9.19414e-005,8.2748e-005,0.000388111,-0.000439382,-0.000315956,9.68243e-005
5.97365e-005,-6.11575e-005,0.000404296,0.00041464,0.000126039,0.000406778
7.50322e-006,1.26509e-006,0.000404329,0.000816464,0.00023756,0.000216327
-4.136e-005,-6.19062e-005,0.000404363,-0.000771307,0.000292852,-2.43772e-006
-4.19308e-005,-2.22366e-005,0.000387029,-0.000398072,-0.00141078,-0.000727616
9.07522e-006,-4.54782e-005,0.000404253,-0.000173809,-0.000700376,6.84206e-005
5.95312e-005,9.51409e-005,0.000404074,0.000827546,-0.00122823,3.66187e-005
8.88871e-006,7.86359e-005,0.000404422,-0.000245782,-0.000172411,-9.52554e-005
9.28166e-006,-8.70648e-005,0.000387941,-0.000554427,-0.000382871,2.44045e-006
-6.65247e-005,4.90669e-005,0.000404259,0.000284101,0.000704532,-0.000193627
8.33297e-005,4.96288e-005,0.000404352,-0.0006164,-0.00153857,-0.000659013
5.93741e-005,-2.15011e-005,0.000388054,0.000888686,0.000412798,-0.000260512
-1.85313e-005,4.69289e-005,0.000392923,7.19797e-005,0.000512372,-3.84663e-005
