X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,Time_list,Temperature_list,Speed_list
-2.09797,1.8827,9.95381,1.09344,1.7191,10.234,-0.684462,-0.200826,9.9554,-0.590512,-1.94646,10.1482,0.866169,-1.3757,10.1858,0.0049,3.26151e+007,
-2.12418,1.89907,9.93726,1.18892,1.70118,10.2565,-0.72295,-0.210896,9.94255,-0.554723,-1.93296,10.1681,0.799505,-1.37768,10.1917,0.005,3.23926e+007,
-2.15062,1.91582,9.91935,1.28434,1.68326,10.2767,-0.761216,-0.221289,9.92828,-0.518895,-1.9195,10.1857,0.73287,-1.37968,10.1952,0.0051,3.22016e+007,
-2.17729,1.93293,9.90047,1.37971,1.66534,10.2944,-0.799273,-0.231995,9.9129,-0.483029,-1.90608,10.2008,0.666267,-1.3817,10.1963,0.0052,3.20305e+007,
-2.20415,1.95043,9.88099,1.47501,1.64741,10.3097,-0.837135,-0.243002,9.89672,-0.447126,-1.8927,10.2136,0.599698,-1.38373,10.195,0.0053,3.18702e+007,
-2.23117,1.96829,9.86133,1.57021,1.62946,10.3226,-0.874814,-0.254301,9.88007,-0.411185,-1.87938,10.2239,0.533167,-1.38578,10.1913,0.0054,3.17122e+007,
-2.25832,1.98654,9.84191,1.66529,1.61149,10.3331,-0.912318,-0.265875,9.86333,-0.375207,-1.8661,10.2318,0.466675,-1.38786,10.1851,0.0055,3.15589e+007,
-2.28558,2.00517,9.82313,1.76023,1.59347,10.3413,-0.949662,-0.277717,9.84684,-0.339193,-1.85288,10.2373,0.400228,-1.38996,10.1765,0.0056,3.14135e+007,
-2.3129,2.0242,9.80541,1.85501,1.57539,10.3471,-0.986859,-0.289818,9.83098,-0.303145,-1.83972,10.2404,0.33383,-1.39208,10.1655,0.0057,3.12807e+007,
-2.34027,2.04365,9.78913,1.9496,1.55724,10.3505,-1.02392,-0.302174,9.81611,-0.267065,-1.82662,10.2412,0.267485,-1.39422,10.1521,0.0058,3.11754e+007,
-2.36764,2.06353,9.77463,2.04399,1.53898,10.3517,-1.06085,-0.314779,9.80256,-0.230956,-1.81357,10.2395,0.201201,-1.39639,10.1363,0.0059,3.11138e+007,
-2.395,2.08388,9.76223,2.13816,1.52058,10.3507,-1.09766,-0.327624,9.79066,-0.194822,-1.8006,10.2354,0.134984,-1.39857,10.1181,0.006,3.11148e+007,
-2.42235,2.10473,9.7522,2.23212,1.502,10.3474,-1.13438,-0.340701,9.78069,-0.158668,-1.7877,10.2289,0.0688433,-1.40077,10.0974,0.0061,3.1199e+007,
-2.4497,2.12612,9.74477,2.32589,1.4832,10.3419,-1.17101,-0.354002,9.7729,-0.122499,-1.77488,10.22,0.00278867,-1.40297,10.0744,0.0062,3.13843e+007,
-2.47709,2.14806,9.74013,2.4195,1.46415,10.3343,-1.20756,-0.367519,9.76749,-0.0863138,-1.76218,10.2087,-0.0631611,-1.40515,10.0489,0.0063,3.16916e+007,
2.49543,2.17048,9.73841,-2.48699,1.44482,10.3245,-1.24404,-0.381147,9.76463,-0.0501027,-1.74959,10.195,-0.129012,-1.40731,10.0209,0.0064,3.20632e+007,
2.46781,2.19289,9.7397,-2.39353,1.42521,10.3126,-1.28046,-0.394387,9.76441,-0.0138442,-1.73713,10.179,-0.194781,-1.40943,9.99054,0.0065,3.25743e+007,
2.43995,2.21523,9.74405,-2.30008,1.40533,10.2984,-1.31712,-0.406929,9.76681,0.022641,-1.72508,10.1608,-0.260281,-1.4115,9.95763,0.0066,3.3134e+007,
2.41156,2.23732,9.7514,-2.20659,1.3852,10.2821,-1.35563,-0.417259,9.7715,0.060156,-1.71476,10.1411,-0.324485,-1.41356,9.92214,0.0067,3.37828e+007,
2.38258,2.2591,9.76168,-2.11303,1.36486,10.2635,-1.39608,-0.425221,9.77844,0.0987635,-1.70561,10.1198,-0.387311,-1.4163,9.88504,0.0068,3.44154e+007,
2.35297,2.28049,9.77474,-2.0194,1.34435,10.2426,-1.43858,-0.430669,9.78757,0.138335,-1.69719,10.0966,-0.448494,-1.42025,9.84725,0.0069,3.50056e+007,
2.32269,2.30144,9.79037,-1.92569,1.32369,10.2194,-1.4832,-0.433467,9.7988,0.178696,-1.68924,10.0714,-0.507748,-1.4258,9.80966,0.007,3.55601e+007,
2.29171,2.32187,9.80829,-1.83191,1.30292,10.1939,-1.53001,-0.433508,9.81201,0.219688,-1.68159,10.044,-0.564829,-1.43318,9.77311,0.0071,3.60966e+007,
2.26,2.34175,9.82817,-1.73806,1.28209,10.166,-1.57901,-0.430719,9.82707,0.261183,-1.67413,10.0143,-0.619565,-1.44256,9.73836,0.0072,3.66336e+007,
2.22756,2.361,9.84962,-1.64415,1.2612,10.1357,-1.63017,-0.42507,9.84378,0.303081,-1.66681,9.98242,-0.671853,-1.45401,9.70614,0.0073,3.71861e+007,
2.19447,2.37952,9.87221,-1.55018,1.24029,10.103,-1.68353,-0.416516,9.86191,0.346406,-1.65981,9.94857,-0.722791,-1.46727,9.67678,0.0074,3.97443e+007,
2.16135,2.39696,9.89544,-1.45616,1.21936,10.068,-1.73943,-0.404829,9.88114,0.396396,-1.65424,9.9149,-0.777868,-1.48115,9.64938,0.0075,4.19648e+007,
2.12829,2.41321,9.91884,-1.36211,1.19844,10.0305,-1.79769,-0.390147,9.90119,0.451717,-1.6495,9.88161,-0.836018,-1.496,9.62497,0.0076,4.37773e+007,
2.09538,2.42816,9.94197,-1.268,1.17753,9.99062,-1.85812,-0.372612,9.92169,0.511133,-1.64513,9.849,-0.896297,-1.51205,9.60448,0.0077,4.51844e+007,
2.06262,2.44178,9.96436,-1.17366,1.15669,9.9484,-1.92062,-0.352668,9.94225,0.573577,-1.64072,9.81746,-0.957912,-1.5293,9.58863,0.0078,4.66178e+007,
2.02951,2.4544,9.98556,-1.07808,1.13627,9.90444,-1.9856,-0.331939,9.9624,0.638255,-1.63574,9.78739,-1.02017,-1.54729,9.57797,0.0079,4.76696e+007,
1.99635,2.4657,10.0052,-0.981236,1.11618,9.85956,-2.05291,-0.310394,9.98177,0.704246,-1.62991,9.75924,-1.08263,-1.56599,9.57293,0.008,4.81446e+007,
1.96333,2.4757,10.023,-0.883181,1.09634,9.81464,-2.12201,-0.287977,10,0.770656,-1.62321,9.73353,-1.14507,-1.58537,9.57387,0.0081,4.87856e+007,
1.93033,2.48562,10.0384,-0.784453,1.07664,9.77067,-2.19266,-0.265057,10.0166,0.838436,-1.61643,9.71094,-1.20801,-1.6054,9.58115,0.0082,4.88475e+007,
1.89737,2.49547,10.0514,-0.685783,1.05607,9.72869,-2.26338,-0.242104,10.0309,0.90757,-1.60935,9.69201,-1.27223,-1.62481,9.59522,0.0083,4.89191e+007,
1.86445,-2.49476,10.0619,-0.587129,1.03464,9.68966,-2.33415,-0.219113,10.0427,0.977803,-1.60196,9.67716,-1.33752,-1.64364,9.6159,0.0084,4.90408e+007,
1.8316,-2.4851,10.0701,-0.488465,1.01238,9.65447,-2.40497,-0.196075,10.0521,1.04892,-1.59422,9.66677,-1.40372,-1.66192,9.64288,0.0085,4.92359e+007,
1.79882,-2.47556,10.076,-0.38978,0.989329,9.62395,-2.47582,-0.172983,10.0591,1.12076,-1.58611,9.66111,-1.4707,-1.67972,9.67568,0.0086,4.95336e+007,
1.76612,-2.46616,10.0795,-0.29106,0.965546,9.59886,2.4533,-0.149832,10.0637,1.19299,-1.57762,9.66035,-1.53816,-1.69708,9.71367,0.0087,4.94472e+007,
1.73351,-2.45693,10.0806,-0.192298,0.941087,9.57982,2.3824,-0.126613,10.066,1.26461,-1.56871,9.66456,-1.60513,-1.71408,9.75609,0.0088,4.94503e+007,
1.70098,-2.44791,10.0794,-0.0934951,0.916009,9.56735,2.31148,-0.103319,10.0658,1.33548,-1.55935,9.67369,-1.67145,-1.73079,9.80208,0.0089,4.95135e+007,
1.66852,-2.43911,10.0759,0.00533715,0.890455,9.56184,2.24057,-0.0799435,10.0632,1.4054,-1.54957,9.68758,-1.73692,-1.74728,9.85069,0.009,4.95198e+007,
1.63612,-2.43058,10.0702,0.104155,0.86491,9.56349,2.16967,-0.0564802,10.0582,1.47418,-1.53976,9.70593,-1.80131,-1.76365,9.90092,0.0091,4.94964e+007,
1.60375,-2.42235,10.0621,0.202904,0.839467,9.57238,2.09881,-0.0329239,10.0508,1.54156,-1.52986,9.72834,-1.86431,-1.78,9.95174,0.0092,4.93068e+007,
1.57138,-2.41444,10.0517,0.301437,0.814322,9.58843,2.02798,-0.00927041,10.041,1.60726,-1.51977,9.75429,-1.92543,-1.79661,10.0021,0.0093,4.89988e+007,
1.53899,-2.40688,10.0391,0.399734,0.789499,9.6114,1.9572,0.0144777,10.0288,1.67131,-1.50947,9.7832,-1.98469,-1.8135,10.0509,0.0094,4.95143e+007,
1.50659,-2.39965,10.0241,0.497773,0.765023,9.64084,1.88648,0.0382934,10.0143,1.73545,-1.49924,9.81473,-2.04385,-1.83041,10.0974,0.0095,5.01171e+007,
1.47414,-2.39274,10.0068,0.595529,0.740924,9.67619,1.81584,0.0621737,9.99728,1.79971,-1.48909,9.84823,-2.10287,-1.84735,10.1414,0.0096,5.07287e+007,
1.44162,-2.38614,9.98719,0.692536,0.717479,9.71661,1.74571,0.0862664,9.97806,1.86411,-1.47945,9.88295,-2.16172,-1.86434,10.1831,0.0097,4.9519e+007,
1.40849,-2.38093,9.96539,0.786362,0.695904,9.76063,1.67846,0.111285,9.95754,1.92921,-1.47113,9.91785,-2.22035,-1.88142,10.2223,0.0098,4.85186e+007,
1.37217,-2.38234,9.94242,0.87549,0.676329,9.80697,1.61512,0.136677,9.9363,1.99792,-1.45847,9.95168,-2.27862,-1.89858,10.2593,0.0099,4.68045e+007,
1.33247,-2.38913,9.91827,0.958168,0.660168,9.8544,1.55733,0.160661,9.91495,2.07051,-1.44232,9.98422,-2.33649,-1.91588,10.2939,0.01,4.38055e+007,
1.28951,-2.39925,9.89304,1.03184,0.649814,9.90182,1.50753,0.179782,9.894,2.14692,-1.42358,10.0151,-2.39391,-1.93337,10.3264,0.0101,3.97043e+007,
1.24401,-2.41106,9.86708,1.09318,0.649068,9.94864,1.46917,0.189629,9.87343,2.22634,-1.40325,10.044,-2.45089,-1.95109,10.3565,0.0102,3.45476e+007,
1.19839,-2.42128,9.84113,1.13902,0.662971,9.99559,1.44616,0.183179,9.85209,2.30588,-1.38288,10.0704,2.49226,-1.96881,10.3843,0.0103,3.36059e+007,
1.15261,-2.42981,9.8157,1.16813,0.696808,10.0449,1.4398,0.155074,9.82722,2.38554,-1.36248,10.0944,2.43554,-1.98651,10.4098,0.0104,3.90755e+007,
1.10664,-2.43679,9.79133,1.18483,0.748909,10.0977,1.4458,0.107139,9.7975,2.46531,-1.34206,10.116,2.37894,-2.00422,10.4328,0.0105,3.84609e+007,
1.06045,-2.44324,9.76865,1.20119,0.801679,10.1484,1.45219,0.0579961,9.76901,-2.45484,-1.32162,10.1352,2.32245,-2.02194,10.4536,0.0106,3.77293e+007,
1.01403,-2.4492,9.74819,1.21734,0.854901,10.1969,1.45881,0.007896,9.74247,-2.3749,-1.30116,10.152,2.26606,-2.03967,10.4719,0.0107,3.69298e+007,
0.967407,-2.45482,9.73044,1.23338,0.908427,10.2432,1.46558,-0.0428204,9.71854,-2.29488,-1.28071,10.1663,2.20976,-2.05741,10.4879,0.0108,3.59712e+007,
0.920552,-2.46096,9.71583,1.24935,0.962159,10.2872,1.47247,-0.0932228,9.69783,-2.21477,-1.26026,10.1783,2.15356,-2.07515,10.5015,0.0109,3.50552e+007,
0.873457,-2.46761,9.70474,1.26528,1.01603,10.3289,1.47948,-0.143221,9.68088,-2.13459,-1.23983,10.1878,2.09745,-2.09291,10.5128,0.011,3.4232e+007,
0.826103,-2.4748,9.69746,1.28119,1.06998,10.3683,1.48659,-0.192746,9.66817,-2.05433,-1.21941,10.1949,2.04142,-2.11066,10.5217,0.0111,3.35448e+007,
0.77847,-2.48255,9.69422,1.2971,1.12399,10.4054,1.49384,-0.241744,9.66005,-1.974,-1.19902,10.1996,1.98549,-2.12843,10.5283,0.0112,3.30276e+007,
0.730535,-2.49087,9.69515,1.31301,1.17803,10.4401,1.50122,-0.290174,9.65679,-1.89361,-1.17863,10.202,1.92964,-2.1462,10.5325,0.0113,3.27027e+007,
0.682271,-2.49978,9.70028,1.32894,1.23207,10.4725,1.50877,-0.338001,9.65854,-1.81316,-1.15827,10.2019,1.87389,-2.16398,10.5343,0.0114,3.25796e+007,
0.633655,2.49071,9.70956,1.34489,1.28612,10.5026,1.5165,-0.385199,9.66535,-1.73266,-1.13792,10.1994,1.81823,-2.18177,10.5338,0.0115,3.26451e+007,
0.584675,2.48059,9.72285,1.36087,1.34014,10.5303,1.52444,-0.43175,9.67715,-1.65212,-1.11758,10.1944,1.76266,-2.19957,10.531,0.0116,3.28905e+007,
0.5353,2.46985,9.7399,1.37688,1.39415,10.5556,1.53261,-0.477639,9.69374,-1.57155,-1.09726,10.1871,1.70719,-2.21738,10.5258,0.0117,3.32865e+007,
0.485501,2.45849,9.76038,1.39293,1.44813,10.5786,1.54104,-0.522858,9.71484,-1.49095,-1.07693,10.1774,1.65182,-2.2352,10.5183,0.0118,3.37945e+007,
0.435249,2.4465,9.78388,1.40902,1.50208,10.5992,1.54976,-0.567406,9.74002,-1.41033,-1.05661,10.1652,1.59655,-2.25304,10.5084,0.0119,3.43702e+007,
0.384517,2.43388,9.80992,1.42517,1.556,10.6174,1.55877,-0.611284,9.7688,-1.32969,-1.03629,10.1507,1.54139,-2.27089,10.4962,0.012,3.49682e+007,
0.333278,2.42065,9.83795,1.44137,1.60988,10.6333,1.56811,-0.654498,9.80058,-1.24903,-1.01595,10.1337,1.48634,-2.28877,10.4816,0.0121,3.55452e+007,
0.281508,2.40681,9.86738,1.45762,1.66372,10.6468,1.5778,-0.69706,9.8347,-1.16836,-0.995609,10.1143,1.4314,-2.30666,10.4648,0.0122,3.6065e+007,
0.229186,2.39237,9.89758,1.47395,1.71754,10.6579,1.58784,-0.738984,9.87044,-1.08769,-0.975247,10.0924,1.37659,-2.32457,10.4456,0.0123,3.65014e+007,
0.176293,2.37734,9.92789,1.49033,1.77131,10.6667,1.59827,-0.780288,9.90704,-1.007,-0.954863,10.0682,1.3219,-2.3425,10.424,0.0124,3.68405e+007,
0.122813,2.36173,9.95765,1.50679,1.82506,10.673,1.60907,-0.820985,9.9437,-0.92632,-0.934453,10.0415,1.26734,-2.36046,10.4001,0.0125,3.70728e+007,
0.0687322,2.34557,9.98622,1.52331,1.87873,10.677,1.62028,-0.861071,9.97962,-0.845638,-0.914009,10.0125,1.21292,-2.37844,10.3739,0.0126,3.72226e+007,
0.0140416,2.32887,10.0129,1.53991,1.93235,10.6787,1.63189,-0.900569,10.014,-0.764965,-0.893529,9.98096,1.15864,-2.39644,10.3453,0.0127,3.7319e+007,
